,topic_terms
0,food intolerance
1,diet therapy
2,nutritional status
3,fodmap
4,irritable bowel syndrome
5,nonceliac gluten sensitivity
6,anaphylaxis
7,eosinophilic esophagitis
8,celiac disease
9,intolerance
10,lactose intolerance
11,fructose intolerance
12,histamine intolerance
13,patch tests
14,radioallergosorbent test
15,basophil activation test
16,oral food challenge test
17,elimination diet
18,immunotherapy
19,epinephrine
20,antihistamines
21,corticosteroids
22,leukotriene antagonists
23,omalizumab
24,desensitization
25,probiotics
26,prebiotics
27,synbiotics
28,gastrointestinal microbiome
29,anti-inflammatory agents
30,gluten
31,gluten-free diet
32,lactose-free diet
33,fructose-free diet
34,low-fodmap diet
35,peanut
36,milk
37,egg
38,wheat
39,soybean
40,fish
41,shellfish
42,tree nut
43,sesame
44,mustard
45,fruit
46,banana
47,peanuts
48,tree nuts
49,soy
51,crustacea
63,tyramine intolerance
64,serotonin intolerance
65,tryptophan intolerance
67,food additives
68,monosodium glutamate
69,sulfites
70,benzoates
71,nitrites
72,aspartame
73,tartrazine
75,gliadin
76,wheat germ agglutinins
77,lactose
78,fructose
79,gastrointestinal diseases
80,gastrointestinal symptoms
81,abdominal pain
82,bloating
83,flatulence
84,diarrhea
85,constipation
86,nausea
87,vomiting
88,reflux
89,dyspepsia
90,malabsorption syndromes
91,steatorrhea
92,weight loss
93,anemia
94,osteoporosis
95,neurologic manifestations
96,depression
97,anxiety
98,headache
99,migraine disorders
100,fatigue syndrome
